rank,finalWorth,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,lastName,firstName,title,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
766,3700,Hayes Barnard,51.0,United States,Austin,Fintech,Finance & Investments,United States,,True,N,M,Barnard,Hayes,,Texas,South,1972.0,2.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,William Berkley,76.0,United States,Coconut Grove,Insurance,Finance & Investments,United States,WR Berkley,True,E,M,Berkley,William,Chairman and CEO,Florida,South,1946.0,9.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,Charles Cohen,71.0,United States,New York,Real estate,Real Estate,United States,,False,U,M,Cohen,Charles,,New York,Northeast,1952.0,2.0,8.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,Yakir Gabay,56.0,United Kingdom,London,Real estate,Real Estate,Cyprus,,True,D,M,Gabay,Yakir,,,,1966.0,4.0,13.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
766,3700,Huang Li,59.0,China,Wuhan,Imaging systems,Technology,China,,True,D,M,Huang,Li,,,,1963.0,6.0,27.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
766,3700,Brad Jacobs,66.0,United States,Greenwich,Logistics,Logistics,United States,,True,E,M,Jacobs,Brad,,Connecticut,Northeast,1956.0,7.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,Ji Qi,56.0,China,Shanghai,"Hotels, motels",Real Estate,China,,True,U,M,Ji,Qi,,,,1966.0,10.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
766,3700,Jason Jiang,50.0,China,Shanghai,Advertising,Media & Entertainment,Singapore,,True,D,M,Jiang,Jason,,,,1973.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
766,3700,Jim Kavanaugh,60.0,United States,St. Louis,IT provider,Technology,United States,,True,U,M,Kavanaugh,Jim,,Missouri,Midwest,1962.0,10.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,Richard LeFrak & family,77.0,United States,New York,Real estate,Real Estate,United States,,False,E,M,LeFrak,Richard,,New York,Northeast,1945.0,8.0,29.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,Mikhail Lomtadze,47.0,Kazakhstan,Almaty,Fintech,Finance & Investments,Georgia,,True,U,M,Lomtadze,Mikhail,,,,1975.0,10.0,17.0,182.75,5.2,"$180,161,741,180 ",61.7,104.4,73.2,11.7,28.4,18513930.0,48.019573,66.923684
766,3700,Tom Morris,68.0,United Kingdom,Merseyside,Retail,Fashion & Retail,United Kingdom,,True,U,M,Morris,Tom,,,,1954.0,10.0,2.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
766,3700,Shigenobu Nagamori,78.0,Japan,Kyoto,Motors,Manufacturing,Japan,,True,D,M,Nagamori,Shigenobu,,,,1944.0,8.0,28.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
766,3700,Daniel Och,62.0,United States,Miami Beach,Hedge funds,Finance & Investments,United States,Och-Ziff Capital Management,True,D,M,Och,Daniel,Founder,Florida,South,1961.0,1.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,Horst Paulmann & family,88.0,Chile,Santiago,Retail,Fashion & Retail,Chile,,True,U,M,Paulmann,Horst,,,,1935.0,1.0,1.0,131.91,2.6,"$282,318,159,745 ",88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675147,-71.542969
766,3700,Anthony Pritzker,62.0,United States,Los Angeles,"Hotels, investments",Service,United States,,False,E,M,Pritzker,Anthony,,California,West,1961.0,1.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,John Sall,75.0,United States,Cary,Software,Technology,United States,SAS Institute,True,U,M,Sall,John,"Co-Founder, Executive Vice President",North Carolina,South,1948.0,4.0,4.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,Howard Schultz,69.0,United States,Seattle,Starbucks,Food & Beverage,United States,,True,D,M,Schultz,Howard,,Washington,West,1953.0,7.0,19.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,Richard Schulze,82.0,United States,Naples,Best Buy,Fashion & Retail,United States,Best Buy Co. Inc.,True,D,M,Schulze,Richard,Chairman,Florida,South,1941.0,1.0,2.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,Yitzhak Tshuva,74.0,Israel,Netanya,Real estate,Real Estate,Israel,,True,D,M,Tshuva,Yitzhak,,,,1948.0,7.0,7.0,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
766,3700,Wang Yanqing & family,56.0,China,Wuxi,Electrical equipment,Manufacturing,China,,True,D,M,Wang,Yanqing,,,,1966.0,4.0,7.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
787,3600,Rajiv Bajaj,56.0,India,Pune,Diversified,Diversified,India,,False,Split Family Fortune,M,Bajaj,Rajiv,,,,1966.0,12.0,21.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
787,3600,Sanjiv Bajaj,53.0,India,Pune,Diversified,Diversified,India,,False,Split Family Fortune,M,Bajaj,Sanjiv,,,,1969.0,11.0,2.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
787,3600,Leonid Boguslavsky,71.0,Italy,Florence,Venture capital,Finance & Investments,Canada,,True,D,M,Boguslavsky,Leonid,,,,1951.0,6.0,17.0,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
787,3600,Jim Coulter,63.0,United States,San Francisco,Private equity,Finance & Investments,United States,,True,U,M,Coulter,Jim,,California,West,1959.0,12.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
787,3600,Nicolas D'Ieteren,47.0,Switzerland,Anzere,"Auto parts, distribution",Automotive,Belgium,,False,N,M,D'Ieteren,Nicolas ,,,,1975.0,4.0,13.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
787,3600,Beatriz Davila de Santo Domingo,84.0,Bermuda,,Beer,Food & Beverage,Colombia,,False,U,F,Davila de Santo Domingo,Beatriz,,,,1939.0,3.0,7.0,,,,,,,,,,,
787,3600,Bob Gaglardi,82.0,Canada,Vancouver,Hotels,Real Estate,Canada,,True,U,M,Gaglardi,Bob,,,,1941.0,2.0,19.0,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
787,3600,Jaime Gilinski Bacal,65.0,United Kingdom,London,Banking,Finance & Investments,Colombia,,False,D,M,Gilinski Bacal,Jaime,Investor,,,1957.0,12.0,14.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
787,3600,Pansy Ho,60.0,Hong Kong,Hong Kong,Casinos,Gambling & Casinos,Hong Kong,,False,U,F,Ho,Pansy,,,,1962.0,8.0,26.0,,,,,,,,,,,
787,3600,Alan Howard,59.0,Switzerland,Geneva,Hedge funds,Finance & Investments,United Kingdom,Brevan Howard Asset Management,True,U,M,Howard,Alan,Founder,,,1963.0,9.0,1.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
787,3600,Huang Yi,61.0,China,Beijing,Car dealerships,Automotive,Hong Kong,,True,D,M,Huang,Yi,,,,1962.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
787,3600,Peter Kellogg,80.0,United States,Short Hills,Investments,Finance & Investments,United States,,False,E,M,Kellogg,Peter,,New Jersey,Northeast,1942.0,9.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
787,3600,Vyacheslav Kim,53.0,Kazakhstan,Almaty,Fintech,Finance & Investments,Kazakhstan,,True,U,M,Kim,Vyacheslav,,,,1969.0,6.0,12.0,182.75,5.2,"$180,161,741,180 ",61.7,104.4,73.2,11.7,28.4,18513930.0,48.019573,66.923684
787,3600,Josh Kushner,37.0,United States,New York City,Venture capital,Finance & Investments,United States,Thrive Capital,True,U,M,Kushner,Josh,Managing Partner,New York,Northeast,1985.0,6.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
787,3600,Samuel Tak Lee,83.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,False,D,M,Lee,Samuel Tak,,,,1939.0,4.0,9.0,,,,,,,,,,,
787,3600,Edwin Leong,71.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,True,D,M,Leong,Edwin,,,,1951.0,12.0,4.0,,,,,,,,,,,
787,3600,"Stephen Mandel, Jr.",67.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,Lone Pine Capital,True,D,M,Mandel,Stephen,Founder,Connecticut,Northeast,1956.0,3.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
787,3600,Mohamed Mansour,75.0,United Kingdom,London,Diversified,Diversified,Egypt,,True,U,M,Mansour,Mohamed,,,,1948.0,1.0,23.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
787,3600,Masahiro Miki,67.0,Japan,Tokyo,Shoes,Fashion & Retail,Japan,,True,U,M,Miki,Masahiro,,,,1955.0,7.0,26.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
787,3600,Masahiro Noda,84.0,Japan,Tokyo,Software,Technology,Japan,,True,U,M,Noda,Masahiro,,,,1938.0,8.0,24.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
787,3600,Cliff Obrecht,37.0,Australia,Sydney,Software,Technology,Australia,,True,D,M,Obrecht,Cliff,,,,1985.0,12.0,28.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
787,3600,Melanie Perkins,35.0,Australia,Sydney,Software,Technology,Australia,Canva,True,D,F,Perkins,Melanie,Cofounder & CEO,,,1987.0,5.0,13.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
787,3600,J.B. Pritzker,58.0,United States,Springfield,"Hotels, investments",Finance & Investments,United States,,False,E,M,Pritzker,J.B.,,Illinois,Midwest,1965.0,1.0,19.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
787,3600,Juan Roig,73.0,Spain,Valencia,Supermarkets,Fashion & Retail,Spain,,False,D,M,Roig,Juan,,,,1949.0,10.0,8.0,110.96,0.7,"$1,394,116,310,769 ",88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
787,3600,Jerry Speyer & family,82.0,United States,New York,Real estate,Real Estate,United States,,True,E,M,Speyer,Jerry,,New York,Northeast,1940.0,6.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
787,3600,Lawrence Stroll,63.0,Switzerland,Geneva,Fashion investments,Fashion & Retail,Canada,,True,U,M,Stroll,Lawrence,,,,1959.0,7.0,11.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
787,3600,Tung Chee Chen,80.0,Hong Kong,Hong Kong,Shipping,Logistics,Hong Kong,,False,E,M,Tung,Chee Chen,,,,1942.0,12.0,15.0,,,,,,,,,,,
787,3600,Wang Junlin,60.0,China,Chengdu,Liquor,Food & Beverage,China,,True,D,M,Wang,Junlin,,,,1962.0,9.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
787,3600,Xia Zuoquan,61.0,China,Shenzhen,"Automobiles, batteries",Automotive,China,,True,U,M,Xia,Zuoquan,,,,1962.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
787,3600,Zeng Fangqin,57.0,China,Shenzhen,Smartphone components,Technology,China,,True,D,F,Zeng,Fangqin,,,,1965.0,12.0,25.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
787,3600,Zhang Jian,54.0,China,Tianjin,"Electric bikes, scooters",Manufacturing,China,,True,U,M,Zhang,Jian,,,,1969.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
818,3500,Rocco Basilico,33.0,United States,Los Angeles,Eyeglasses,Fashion & Retail,Italy,,False,N,M,Basilico,Rocco,,California,West,1989.0,7.0,11.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,Maurizio Billi,65.0,Brazil,Sao Paulo,Generic drugs,Healthcare,Brazil,,False,U,M,Billi,Maurizio,,,,1957.0,11.0,22.0,167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528
818,3500,Fashu Chen,62.0,China,Fuzhou,Investments,Finance & Investments,China,,True,D,M,Chen,Fashu,,,,1960.0,10.0,26.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
818,3500,Giuseppe Crippa & family,87.0,Italy,Cernusco Lombardone,Microchip testing,Manufacturing,Italy,,True,U,M,Crippa,Giuseppe,,,,1935.0,5.0,5.0,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
818,3500,Daniel D'Aniello,76.0,United States,Vienna,Private equity,Finance & Investments,United States,,True,D,M,D'Aniello,Daniel,,Virginia,South,1946.0,9.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,Claudio Del Vecchio,66.0,United States,Muttontown,Eyeglasses,Fashion & Retail,Italy,,False,N,M,Del Vecchio,Claudio,,New York,Northeast,1957.0,2.0,26.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,Clemente Del Vecchio,18.0,Italy,Milan,Eyeglases,Fashion & Retail,Italy,,False,N,M,Del Vecchio,Clemente,,,,2004.0,5.0,6.0,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
818,3500,Leonardo Maria Del Vecchio,27.0,Italy,Milan,Eyeglasses,Fashion & Retail,Italy,,False,N,M,Del Vecchio,Leonardo Maria,,,,1995.0,5.0,6.0,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
818,3500,Luca Del Vecchio,21.0,Italy,Milan,Eyeglasses,Fashion & Retail,Italy,,False,N,M,Del Vecchio,Luca,,,,2001.0,8.0,31.0,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
818,3500,Marisa Del Vecchio,64.0,Italy,Rome,Eyeglasses,Fashion & Retail,Italy,,False,N,F,Del Vecchio,Marisa,,,,1958.0,7.0,10.0,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
818,3500,Paola Del Vecchio,61.0,Luxembourg,Luxembourg,Eyeglasses,Fashion & Retail,Italy,,False,N,F,Del Vecchio,Paola,,,,1961.0,5.0,14.0,115.09,1.7,"$71,104,919,108 ",19.2,102.3,82.1,26.5,20.4,645397.0,49.815273,6.129583
818,3500,Walter P.J. Droege,70.0,Germany,Dusseldorf,Investing,Finance & Investments,Germany,,True,D,M,Droege,Walter P.J.,,,,1952.0,11.0,25.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
818,3500,Fan Daidi,57.0,China,Xian,Skincare,Fashion & Retail,China,,True,N,F,Fan ,Daidi,,,,1966.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
818,3500,Peter Gassner,58.0,United States,Pleasanton,Software,Technology,United States,,True,U,M,Gassner,Peter,,California,West,1965.0,2.0,26.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,Mikhail Gutseriev,65.0,Russia,Moscow,"Oil, coal, real estate",Energy,Russia,,True,U,M,Gutseriev,Mikhail,,,,1958.0,3.0,9.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
818,3500,Patrick Lee,81.0,Hong Kong,Hong Kong,Paper,Manufacturing,Hong Kong,,True,D,M,Lee,Patrick,,,,1942.0,1.0,1.0,,,,,,,,,,,
818,3500,Leng Youbin,54.0,China,Beijing,Infant formula,Food & Beverage,China,,True,D,M,Leng,Youbin,,,,1969.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
818,3500,Daniel Loeb,61.0,United States,New York,Hedge funds,Finance & Investments,United States,Third Point,True,D,M,Loeb,Daniel,Investor,New York,Northeast,1961.0,12.0,18.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,Margarita Louis-Dreyfus & family,60.0,Switzerland,Davos,Commodities,Food & Beverage,Switzerland,Louis Dreyfus SAS,False,D,F,Louis-Dreyfus,Margarita,President,,,1962.0,6.0,1.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
818,3500,Prasert Prasarttong-Osoth,90.0,Thailand,Bangkok,Hospitals,Healthcare,Thailand,,True,U,M,Prasarttong-Osoth,Prasert,,,,1933.0,3.0,26.0,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
818,3500,Ira Rennert,88.0,United States,New York,Investments,Finance & Investments,United States,,True,D,M,Rennert,Ira,,New York,Northeast,1934.0,5.0,31.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,Dirk Rossmann & family,76.0,Germany,Lower-Saxony,Drugstores,Fashion & Retail,Germany,,True,U,M,Rossmann,Dirk,,,,1946.0,9.0,7.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
818,3500,Arkady Rotenberg,71.0,Russia,Moscow,"Construction, pipes, banking",Construction & Engineering,Russia,,True,U,M,Rotenberg,Arkady,,,,1951.0,12.0,15.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
818,3500,Remo Ruffini,61.0,Italy,Como,Winter jackets,Fashion & Retail,Italy,,True,U,M,Ruffini,Remo,,,,1961.0,8.0,27.0,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
818,3500,Karin Sartorius-Herbst,,Germany,Northeim,Biopharmaceuticals,Healthcare,Germany,,False,U,F,Sartorius-Herbst,Karin,,,,,,,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
818,3500,Vivek Chaand Sehgal,66.0,India,Delhi,Auto parts,Automotive,Australia,,True,U,M,Sehgal,Vivek Chaand,,,,1956.0,9.0,28.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
818,3500,Scott Shleifer,45.0,United States,New York,Private equity,Finance & Investments,United States,Tiger Global Management,True,D,M,Shleifer,Scott,Investor,New York,Northeast,1977.0,6.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,Thomas Siebel,70.0,United States,Woodside,Business software,Technology,United States,,True,E,M,Siebel,Thomas,,California,West,1952.0,11.0,22.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,Wim van der Leegte & family,75.0,Netherlands,Eindhoven,Manufacturing,Manufacturing,Netherlands,,False,U,M,van der Leegte,Wim,,,,1947.0,8.0,23.0,115.91,2.6,"$909,070,395,161 ",85.0,104.2,81.8,23.0,41.2,17332850.0,52.132633,5.291266
818,3500,Xiao Yongming & family,58.0,China,Beijing,Fertilizer,Diversified,China,,True,D,M,Xiao,Yongming,,,,1964.0,7.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
818,3500,Michael Xie,54.0,United States,Los Altos Hills,Cybersecurity,Technology,United States,,True,U,M,Xie,Michael,,California,West,1969.0,2.0,20.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,Yang Shaopeng,65.0,China,Qingdao,Shipping,Logistics,China,,True,D,M,Yang,Shaopeng,,,,1958.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
818,3500,Nicoletta Zampillo,65.0,Monaco,Monaco,Eyeglasses,Fashion & Retail,Italy,,False,N,F,Zampillo,Nicoletta,,,,1958.0,3.0,28.0,,,"$7,184,844,193 ",,,,,,38964.0,43.7384176,7.4246158
818,3500,Barry Zekelman,56.0,Canada,Windsor,Steel,Manufacturing,Canada,,False,U,M,Zekelman,Barry,,,,1967.0,1.0,3.0,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
852,3400,William Ackman,56.0,United States,New York,Hedge funds,Finance & Investments,United States,"Pershing Square Capital Management, L.P.",True,U,M,Ackman,William,"Founder, CEO",New York,Northeast,1966.0,5.0,11.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
852,3400,Somphote Ahunai,55.0,Thailand,Bangkok,Renewable energy,Energy,Thailand,,True,D,M,Ahunai,Somphote,,,,1967.0,6.0,1.0,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
852,3400,Igor Altushkin,52.0,Russia,Yekaterinburg,Metals,Metals & Mining,Russia,,True,U,M,Altushkin,Igor,,,,1970.0,9.0,10.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
852,3400,Ramon Ang,69.0,Philippines,Manila,Diversified,Food & Beverage,Philippines,,True,U,M,Ang,Ramon,,,,1954.0,1.0,14.0,129.61,2.5,"$376,795,508,680 ",35.5,107.5,71.1,14.0,43.1,108116615.0,12.879721,121.774017
852,3400,Acharya Balkrishna,50.0,India,Haridwar,Consumer goods,Food & Beverage,India,,True,U,M,Balkrishna,Acharya,,,,1972.0,7.0,25.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
852,3400,Markus Blocher,52.0,Switzerland,Wilen bei Wollerau,Chemicals,Manufacturing,Switzerland,,False,U,M,Blocher,Markus,,,,1971.0,1.0,1.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
852,3400,Richard Branson,72.0,British Virgin Islands,Necker Island,Virgin,Diversified,United Kingdom,,True,D,M,Branson,Richard,,,,1950.0,7.0,18.0,,,,,,,,,,,
852,3400,Cho Jung-ho,64.0,South Korea,Seoul,Finance,Finance & Investments,South Korea,Meritz Financial Group,False,U,M,Cho,Jung-ho,,,,1958.0,10.0,5.0,115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,15.6,33.2,51709098.0,35.907757,127.766922
852,3400,Alessandra Garavoglia,63.0,Italy,Milan,Spirits,Food & Beverage,Italy,,False,U,F,Garavoglia,Alessandra,,,,1960.0,2.0,6.0,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
852,3400,Laurence Graff & family,84.0,Switzerland,Gstaad,Diamond jewelry,Fashion & Retail,United Kingdom,,True,E,M,Graff,Laurence,,,,1938.0,6.0,13.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
852,3400,"Amos Hostetter, Jr.",86.0,United States,Boston,Cable television,Media & Entertainment,United States,Pilot House Associates,True,D,M,Hostetter,Amos,Chair,Massachusetts,Northeast,1937.0,1.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
852,3400,Robert Johnson,75.0,United States,Palm Beach,"Johnson & Johnson, sports",Sports,United States,,False,N,M,Johnson,Robert ,,Florida,South,1947.0,4.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
852,3400,Steven Klinsky,66.0,United States,New York,Investments,Finance & Investments,United States,New Mountain Capital,True,E,M,Klinsky,Steven,Founder & CEO,New York,Northeast,1956.0,5.0,30.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
852,3400,William Lauder,62.0,United States,New York,Estee Lauder,Fashion & Retail,United States,,False,D,M,Lauder,William,,New York,Northeast,1960.0,4.0,11.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
